Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
19/12/23 04:37:48;Chemin des Acacias, La Tronche;45.198143;5.756008;;DEPOT;0;
19/12/23 04:37:48;Chemin des Acacias, La Tronche;45.198143;5.756008;;DEPOT;0;
19/12/23 04:37:48;Chemin des Acacias, La Tronche;45.198143;5.756008;;DEPOT;0;
19/12/23 04:37:55;Chemin des Acacias, La Tronche;45.198143;5.756008;0.0;DEPOT;27;
19/12/23 04:39:29;Chemin des Acacias, La Tronche;45.198078;5.755676;6.0;HAUT LE PIED;18;
19/12/23 04:39:34;Chemin des Acacias, La Tronche;45.198029;5.755451;19.0;HAUT LE PIED;135;
19/12/23 04:39:50;Chemin des Acacias, La Tronche;45.197289;5.754094;22.0;HAUT LE PIED;22;
19/12/23 04:39:54;Chemin des Acacias, La Tronche;45.197147;5.753894;12.0;HAUT LE PIED;9;
19/12/23 04:39:57;Chemin des Acacias, La Tronche;45.197109;5.753798;8.0;HAUT LE PIED;8;
19/12/23 04:40:00;Inconnu, La Tronche;45.197128;5.753704;9.0;HAUT LE PIED;9;
19/12/23 04:40:03;Inconnu, La Tronche;45.197208;5.753707;16.0;HAUT LE PIED;205;
19/12/23 04:40:21;Avenue de Verdun, La Tronche;45.198551;5.755496;57.0;HAUT LE PIED;315;
19/12/23 04:40:43;D 1090, La Tronche;45.200447;5.758488;15.0;HAUT LE PIED;36;
19/12/23 04:41:06;Avenue de Verdun, La Tronche;45.200645;5.758846;31.0;HAUT LE PIED;20;
19/12/23 04:41:09;Avenue de Verdun, Meylan;45.200813;5.758953;20.0;HAUT LE PIED;15;
19/12/23 04:41:12;Avenue de Verdun, Meylan;45.200924;5.758852;21.0;HAUT LE PIED;29;
19/12/23 04:41:31;Avenue de Verdun, La Tronche;45.200844;5.758495;28.0;HAUT LE PIED;123;
19/12/23 04:41:41;D 1090, La Tronche;45.200066;5.757373;54.0;HAUT LE PIED;606;
19/12/23 04:42:11;Avenue de Verdun, La Tronche;45.196259;5.751846;71.0;HAUT LE PIED;133;
19/12/23 04:42:20;Inconnu, La Tronche;45.195461;5.750589;30.0;HAUT LE PIED;26;
19/12/23 04:42:24;Inconnu, La Tronche;45.195374;5.750288;16.0;HAUT LE PIED;11;
19/12/23 04:42:55;Inconnu, La Tronche;45.195328;5.750164;0.0;ARRET;34;
19/12/23 04:49:29;Inconnu, La Tronche;45.195107;5.749873;19.0;HAUT LE PIED;17;
19/12/23 04:49:32;Inconnu, La Tronche;45.194962;5.749813;21.0;HAUT LE PIED;21;
19/12/23 04:49:35;Inconnu, La Tronche;45.19479;5.749693;32.0;HAUT LE PIED;264;
19/12/23 04:49:54;Avenue de Verdun, La Tronche;45.193081;5.747362;48.0;HAUT LE PIED;113;
19/12/23 04:50:05;Inconnu, La Tronche;45.192379;5.746319;21.0;HAUT LE PIED;21;
19/12/23 04:50:08;Inconnu, La Tronche;45.192528;5.74615;30.0;HAUT LE PIED;24;
19/12/23 04:50:11;Inconnu, La Tronche;45.192715;5.745999;29.0;HAUT LE PIED;19;
19/12/23 04:50:14;Inconnu, La Tronche;45.192814;5.745801;18.0;HAUT LE PIED;13;
19/12/23 04:50:17;Inconnu, La Tronche;45.192738;5.745682;21.0;HAUT LE PIED;14;
19/12/23 04:50:20;Inconnu, La Tronche;45.192677;5.745837;17.0;HAUT LE PIED;12;
19/12/23 04:50:23;Inconnu, La Tronche;45.192612;5.745966;14.0;HAUT LE PIED;9;
19/12/23 04:50:26;Inconnu, La Tronche;45.192535;5.746001;10.0;HAUT LE PIED;12;
19/12/23 04:50:29;Inconnu, La Tronche;45.192429;5.746051;15.0;HAUT LE PIED;14;
19/12/23 04:50:32;Inconnu, La Tronche;45.192337;5.746171;14.0;HAUT LE PIED;16;
19/12/23 04:50:35;Inconnu, La Tronche;45.192276;5.746361;24.0;HAUT LE PIED;21;
19/12/23 04:50:38;Avenue de Verdun, La Tronche;45.192322;5.746617;30.0;HAUT LE PIED;147;
19/12/23 04:50:51;Avenue de Verdun, La Tronche;45.193268;5.747931;52.0;HAUT LE PIED;562;
19/12/23 04:51:22;Avenue de Verdun, La Tronche;45.196835;5.753007;65.0;HAUT LE PIED;522;
19/12/23 04:51:52;Avenue de Verdun, La Tronche;45.199997;5.757931;47.0;HAUT LE PIED;95;
19/12/23 04:52:03;Chemin de la Tuilerie, La Tronche;45.200394;5.759008;30.0;HAUT LE PIED;26;
19/12/23 04:52:06;Chemin de la Tuilerie, La Tronche;45.200275;5.759291;36.0;HAUT LE PIED;112;
19/12/23 04:52:15;Chemin de la Tuilerie, La Tronche;45.199493;5.7602;52.0;HAUT LE PIED;146;
19/12/23 04:52:27;Chemin de la Tuilerie, La Tronche;45.198322;5.761042;16.0;HAUT LE PIED;13;
19/12/23 04:52:30;Chemin de la Tuilerie, La Tronche;45.198219;5.760961;18.0;HAUT LE PIED;14;
19/12/23 04:52:33;Inconnu, La Tronche;45.198273;5.760803;22.0;HAUT LE PIED;44;
19/12/23 04:52:38;Inconnu, La Tronche;45.198643;5.760614;35.0;HAUT LE PIED;59;
19/12/23 04:52:44;Inconnu, La Tronche;45.199135;5.760334;36.0;HAUT LE PIED;29;
19/12/23 04:52:47;Inconnu, La Tronche;45.199318;5.760076;35.0;HAUT LE PIED;29;
19/12/23 04:52:50;Inconnu, La Tronche;45.199333;5.759712;35.0;HAUT LE PIED;40;
19/12/23 04:52:54;Inconnu, La Tronche;45.199238;5.759222;40.0;HAUT LE PIED;166;
19/12/23 04:53:11;Chemin de la Tuilerie, La Tronche;45.198662;5.757266;20.0;HAUT LE PIED;18;
19/12/23 04:53:14;Chemin de la Tuilerie, La Tronche;45.198578;5.757073;20.0;HAUT LE PIED;59;
19/12/23 04:53:30;Inconnu, La Tronche;45.198338;5.7564;19.0;HAUT LE PIED;14;
19/12/23 04:53:33;Inconnu, La Tronche;45.198208;5.756387;18.0;HAUT LE PIED;12;
19/12/23 04:53:36;Inconnu, La Tronche;45.198116;5.756466;12.0;HAUT LE PIED;7;
19/12/23 04:54:06;Inconnu, La Tronche;45.198128;5.756557;0.0;DEPOT;48;
19/12/23 05:04:45;Inconnu, La Tronche;45.198112;5.757165;13.0;HAUT LE PIED;18;
19/12/23 05:04:48;Inconnu, La Tronche;45.198261;5.757078;21.0;HAUT LE PIED;27;
19/12/23 05:04:54;Inconnu, La Tronche;45.198498;5.756984;11.0;HAUT LE PIED;8;
19/12/23 05:04:57;Chemin de la Tuilerie, La Tronche;45.198555;5.757041;10.0;HAUT LE PIED;10;
19/12/23 05:05:00;Chemin de la Tuilerie, La Tronche;45.198589;5.757157;13.0;HAUT LE PIED;14;
