Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
13/12/23 04:38:33;;45.08395;5.765407;;DEPOT;0;
13/12/23 04:38:33;;45.08395;5.765407;;DEPOT;0;
13/12/23 04:38:33;;45.08395;5.765407;;DEPOT;0;
13/12/23 04:38:33;;45.08395;5.765407;;DEPOT;0;
13/12/23 04:38:34;;45.08395;5.765407;;DEPOT;0;
13/12/23 04:38:34;;45.08395;5.765407;;DEPOT;0;
13/12/23 04:38:42;;45.08395;5.765407;6.0;HAUT LE PIED;5;
13/12/23 04:39:12;;45.083961;5.76547;0.0;DEPOT;40;
13/12/23 04:57:25;Rue Ambroise Croizat, Vizille;45.084171;5.765878;21.0;HAUT LE PIED;49;
13/12/23 04:57:33;Rue Ambroise Croizat, Vizille;45.08411;5.766494;21.0;HAUT LE PIED;16;
13/12/23 04:57:36;Chemin du Bois de Cornage, Vizille;45.083973;5.766534;20.0;HAUT LE PIED;130;
13/12/23 04:57:56;Chemin du Bois de Cornage, Vizille;45.082836;5.766151;22.0;HAUT LE PIED;18;
13/12/23 04:58:00;Chemin du Bois de Cornage, Vizille;45.082722;5.76598;23.0;HAUT LE PIED;18;
13/12/23 04:58:02;Avenue Maurice Thorez, Vizille;45.08268;5.765757;23.0;HAUT LE PIED;19;
13/12/23 04:58:05;Avenue Maurice Thorez, Vizille;45.082737;5.765525;25.0;HAUT LE PIED;210;
13/12/23 04:58:24;N 85, Vizille;45.083351;5.763003;46.0;HAUT LE PIED;407;
13/12/23 04:58:49;N 85, Vizille;45.08453;5.758104;58.0;HAUT LE PIED;81;
13/12/23 04:58:54;N 85, Vizille;45.0849;5.75721;57.0;HAUT LE PIED;65;
13/12/23 04:58:58;N 85, Vizille;45.085201;5.7565;59.0;HAUT LE PIED;50;
13/12/23 04:59:01;N 85, Vizille;45.085274;5.755876;61.0;HAUT LE PIED;128;
13/12/23 04:59:08;N 85, Vizille;45.085045;5.754283;68.0;HAUT LE PIED;518;
13/12/23 04:59:37;D 1085G, Montchaboud;45.083858;5.74791;58.0;HAUT LE PIED;149;
13/12/23 04:59:46;D 1085G, Montchaboud;45.083515;5.746083;58.0;HAUT LE PIED;106;
13/12/23 04:59:53;Route de Vizille, Montchaboud;45.083321;5.744757;52.0;HAUT LE PIED;54;
13/12/23 04:59:57;Route de Vizille, Montchaboud;45.083374;5.744071;43.0;HAUT LE PIED;92;
13/12/23 05:00:08;Route de Vizille, Jarrie;45.08374;5.743016;28.0;HAUT LE PIED;260;
13/12/23 05:00:39;Route de Vizille, Jarrie;45.08485;5.740109;52.0;HAUT LE PIED;534;
13/12/23 05:01:10;Route de Vizille, Champ-sur-Drac;45.087238;5.73421;61.0;HAUT LE PIED;268;
13/12/23 05:01:31;Rue de l'Électro-Chimie, Jarrie;45.088493;5.7313;18.0;HAUT LE PIED;15;
13/12/23 05:01:34;Rue de l'Électro-Chimie, Jarrie;45.088551;5.731122;22.0;HAUT LE PIED;12;
13/12/23 05:01:37;D 1085B, Jarrie;45.088516;5.730982;9.0;HAUT LE PIED;173;
13/12/23 05:02:00;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.08712;5.730012;32.0;HAUT LE PIED;68;
13/12/23 05:02:06;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.08654;5.729756;39.0;HAUT LE PIED;164;
13/12/23 05:02:20;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.085133;5.729133;42.0;HAUT LE PIED;390;
13/12/23 05:02:51;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.081787;5.727644;45.0;HAUT LE PIED;144;
13/12/23 05:03:15;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.080544;5.727112;9.0;HAUT LE PIED;27;
13/12/23 05:03:35;Passage des Gonnardières, Champ-sur-Drac;45.080471;5.727441;9.0;HAUT LE PIED;26;
13/12/23 05:04:06;Passage des Gonnardières, Champ-sur-Drac;45.080395;5.727755;0.0;ARRET;0;
13/12/23 05:04:22;Passage des Gonnardières, Champ-sur-Drac;45.080395;5.727756;;COLLECTE;0;
13/12/23 05:04:30;Passage des Gonnardières, Champ-sur-Drac;45.080391;5.727756;;ARRET;1;
13/12/23 05:04:34;Passage des Gonnardières, Champ-sur-Drac;45.080395;5.727751;;ARRET;29;
13/12/23 05:04:48;Passage des Gonnardières, Champ-sur-Drac;45.080311;5.728106;19.0;HAUT LE PIED;25;
13/12/23 05:05:00;Chemin des Gonnardières, Champ-sur-Drac;45.080101;5.72823;14.0;HAUT LE PIED;47;
13/12/23 05:05:12;Chemin des Gonnardières, Champ-sur-Drac;45.079689;5.728118;;ARRET;4;
13/12/23 05:05:25;Chemin des Gonnardières, Champ-sur-Drac;45.079666;5.728076;;ARRET;0;
13/12/23 05:05:30;Chemin des Gonnardières, Champ-sur-Drac;45.079666;5.728076;6.0;HAUT LE PIED;26;
13/12/23 05:05:41;Chemin des Gonnardières, Champ-sur-Drac;45.079437;5.728097;11.0;HAUT LE PIED;3;
13/12/23 05:05:45;Chemin des Gonnardières, Champ-sur-Drac;45.079414;5.728113;;ARRET;3;
13/12/23 05:05:53;Chemin des Gonnardières, Champ-sur-Drac;45.079426;5.72814;;COLLECTE;0;
13/12/23 05:06:00;Chemin des Gonnardières, Champ-sur-Drac;45.079426;5.728138;;ARRET;0;
13/12/23 05:06:02;Chemin des Gonnardières, Champ-sur-Drac;45.079426;5.728138;;ARRET;25;
13/12/23 05:06:12;Chemin des Gonnardières, Champ-sur-Drac;45.079201;5.72818;9.0;HAUT LE PIED;8;
13/12/23 05:06:16;Chemin des Gonnardières, Champ-sur-Drac;45.079189;5.728283;8.0;HAUT LE PIED;7;
13/12/23 05:06:20;Chemin des Gonnardières, Champ-sur-Drac;45.079224;5.728352;;ARRET;5;
13/12/23 05:06:37;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728397;;COLLECTE;0;
13/12/23 05:06:37;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728397;;COLLECTE;1;
13/12/23 05:06:45;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728384;;COLLECTE;0;
13/12/23 05:06:45;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728384;;ARRET;0;
13/12/23 05:06:47;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728384;0.0;ARRET;0;
13/12/23 05:06:52;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728384;;COLLECTE;0;
13/12/23 05:07:02;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728384;;ARRET;0;
13/12/23 05:07:10;Chemin des Gonnardières, Champ-sur-Drac;45.079254;5.728384;;ARRET;28;
13/12/23 05:07:22;Chemin des Gonnardières, Champ-sur-Drac;45.079506;5.728369;12.0;HAUT LE PIED;15;
13/12/23 05:07:30;Chemin des Gonnardières, Champ-sur-Drac;45.079552;5.728188;;ARRET;11;
13/12/23 05:07:50;Chemin des Gonnardières, Champ-sur-Drac;45.079456;5.72818;;COLLECTE;0;
13/12/23 05:07:50;Chemin des Gonnardières, Champ-sur-Drac;45.079456;5.72818;;COLLECTE;1;
13/12/23 05:07:53;Chemin des Gonnardières, Champ-sur-Drac;45.079449;5.728176;0.0;COLLECTE;1;
13/12/23 05:07:58;Chemin des Gonnardières, Champ-sur-Drac;45.079445;5.728173;;COLLECTE;0;
13/12/23 05:07:58;Chemin des Gonnardières, Champ-sur-Drac;45.079445;5.728173;;ARRET;0;
13/12/23 05:08:03;Chemin des Gonnardières, Champ-sur-Drac;45.079445;5.728172;;ARRET;28;
13/12/23 05:08:17;Chemin des Gonnardières, Champ-sur-Drac;45.079189;5.728165;14.0;HAUT LE PIED;19;
13/12/23 05:08:27;Inconnu, Champ-sur-Drac;45.079018;5.728148;;ARRET;1;
13/12/23 05:08:34;Inconnu, Champ-sur-Drac;45.07901;5.728133;;COLLECTE;1;
13/12/23 05:08:40;Inconnu, Champ-sur-Drac;45.079006;5.728125;;ARRET;0;
13/12/23 05:08:41;Inconnu, Champ-sur-Drac;45.079006;5.728124;;COLLECTE;0;
13/12/23 05:08:42;Inconnu, Champ-sur-Drac;45.079006;5.728124;;COLLECTE;0;
13/12/23 05:08:48;Inconnu, Champ-sur-Drac;45.079006;5.728123;0.0;COLLECTE;0;
13/12/23 05:08:58;Inconnu, Champ-sur-Drac;45.079006;5.728123;;COLLECTE;0;
13/12/23 05:08:58;Inconnu, Champ-sur-Drac;45.079006;5.728123;;ARRET;0;
13/12/23 05:09:05;Inconnu, Champ-sur-Drac;45.079006;5.728124;;ARRET;27;
13/12/23 05:09:15;Chemin des Gonnardières, Champ-sur-Drac;45.078762;5.72816;19.0;HAUT LE PIED;45;
13/12/23 05:09:27;Lotissement La Courtille, Champ-sur-Drac;45.078362;5.728179;;ARRET;1;
13/12/23 05:09:33;Lotissement La Courtille, Champ-sur-Drac;45.078362;5.72816;;COLLECTE;0;
13/12/23 05:09:33;Lotissement La Courtille, Champ-sur-Drac;45.078362;5.72816;;COLLECTE;2;
13/12/23 05:09:41;Lotissement La Courtille, Champ-sur-Drac;45.078358;5.728141;;COLLECTE;0;
13/12/23 05:09:41;Lotissement La Courtille, Champ-sur-Drac;45.078358;5.728141;;ARRET;0;
13/12/23 05:09:45;Lotissement La Courtille, Champ-sur-Drac;45.078358;5.728137;6.0;HAUT LE PIED;3;
13/12/23 05:10:16;Lotissement La Courtille, Champ-sur-Drac;45.078339;5.728161;0.0;ARRET;16;
13/12/23 05:10:37;Chemin des Gonnardières, Champ-sur-Drac;45.078201;5.728196;;MARCHE ARRIERE;8;
13/12/23 05:10:48;Lotissement La Courtille, Champ-sur-Drac;45.078274;5.728189;;ARRET;1;
13/12/23 05:10:53;Lotissement La Courtille, Champ-sur-Drac;45.07827;5.728195;;COLLECTE;0;
13/12/23 05:10:53;Lotissement La Courtille, Champ-sur-Drac;45.07827;5.728195;;COLLECTE;1;
13/12/23 05:11:03;Chemin des Gonnardières, Champ-sur-Drac;45.078262;5.728197;;COLLECTE;0;
13/12/23 05:11:03;Chemin des Gonnardières, Champ-sur-Drac;45.078262;5.728197;;ARRET;1;
13/12/23 05:11:21;Chemin des Gonnardières, Champ-sur-Drac;45.078266;5.728201;;COLLECTE;0;
13/12/23 05:11:24;Chemin des Gonnardières, Champ-sur-Drac;45.078266;5.728201;;COLLECTE;0;
13/12/23 05:11:35;Chemin des Gonnardières, Champ-sur-Drac;45.078266;5.728201;;COLLECTE;0;
13/12/23 05:11:35;Chemin des Gonnardières, Champ-sur-Drac;45.078266;5.728201;;ARRET;0;
13/12/23 05:11:45;Chemin des Gonnardières, Champ-sur-Drac;45.078266;5.7282;;COLLECTE;0;
13/12/23 05:11:45;Chemin des Gonnardières, Champ-sur-Drac;45.078266;5.7282;;COLLECTE;0;
13/12/23 05:11:53;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;COLLECTE;0;
13/12/23 05:11:53;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;ARRET;0;
13/12/23 05:12:01;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;COLLECTE;0;
13/12/23 05:12:01;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;COLLECTE;0;
13/12/23 05:12:09;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;COLLECTE;0;
13/12/23 05:12:09;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;ARRET;0;
13/12/23 05:12:18;Lotissement La Courtille, Champ-sur-Drac;45.078266;5.728199;;ARRET;19;
13/12/23 05:12:32;Chemin des Gonnardières, Champ-sur-Drac;45.078098;5.728215;10.0;HAUT LE PIED;50;
13/12/23 05:12:44;Chemin des Gonnardières, Champ-sur-Drac;45.077652;5.728212;22.0;HAUT LE PIED;17;
13/12/23 05:12:47;Chemin des Gonnardières, Champ-sur-Drac;45.077526;5.728084;22.0;HAUT LE PIED;15;
13/12/23 05:12:50;Chemin des Gonnardières, Champ-sur-Drac;45.077431;5.727945;14.0;HAUT LE PIED;6;
13/12/23 05:12:55;Chemin des Gonnardières, Champ-sur-Drac;45.077396;5.727894;;ARRET;6;
13/12/23 05:12:59;Chemin des Gonnardières, Champ-sur-Drac;45.077343;5.727873;;MARCHE ARRIERE;7;
13/12/23 05:13:12;Chemin des Gonnardières, Champ-sur-Drac;45.077404;5.727904;;ARRET;2;
13/12/23 05:13:21;Chemin des Gonnardières, Champ-sur-Drac;45.077412;5.72793;0.0;ARRET;0;
13/12/23 05:13:25;Chemin des Gonnardières, Champ-sur-Drac;45.077412;5.727936;;COLLECTE;0;
13/12/23 05:13:35;Chemin des Gonnardières, Champ-sur-Drac;45.077412;5.727935;;ARRET;0;
13/12/23 05:13:45;Chemin des Gonnardières, Champ-sur-Drac;45.077412;5.727935;;COLLECTE;0;
13/12/23 05:13:45;Chemin des Gonnardières, Champ-sur-Drac;45.077412;5.727935;;COLLECTE;1;
13/12/23 05:14:01;Chemin des Gonnardières, Champ-sur-Drac;45.077408;5.72793;;COLLECTE;0;
13/12/23 05:14:01;Chemin des Gonnardières, Champ-sur-Drac;45.077408;5.72793;;ARRET;3;
13/12/23 05:14:12;Chemin des Gonnardières, Champ-sur-Drac;45.077396;5.727895;;ARRET;23;
13/12/23 05:14:20;Chemin des Gonnardières, Champ-sur-Drac;45.077217;5.727737;16.0;HAUT LE PIED;18;
13/12/23 05:14:27;Chemin des Gonnardières, Champ-sur-Drac;45.077076;5.727636;;ARRET;2;
13/12/23 05:14:36;Chemin des Gonnardières, Champ-sur-Drac;45.077061;5.727638;;COLLECTE;0;
13/12/23 05:14:36;Chemin des Gonnardières, Champ-sur-Drac;45.077061;5.727638;;COLLECTE;1;
13/12/23 05:14:46;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.727641;;COLLECTE;0;
13/12/23 05:14:51;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.72764;0.0;COLLECTE;0;
13/12/23 05:14:52;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.72764;;COLLECTE;0;
13/12/23 05:15:08;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.72764;;COLLECTE;0;
13/12/23 05:15:08;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.72764;;ARRET;0;
13/12/23 05:15:25;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.727639;;COLLECTE;0;
13/12/23 05:15:25;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.727639;;COLLECTE;0;
13/12/23 05:15:33;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.727639;;COLLECTE;0;
13/12/23 05:15:33;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.727639;;ARRET;0;
13/12/23 05:15:42;Chemin des Gonnardières, Champ-sur-Drac;45.077053;5.727639;;ARRET;27;
13/12/23 05:15:51;Chemin des Gonnardières, Champ-sur-Drac;45.076843;5.727468;6.0;HAUT LE PIED;2;
13/12/23 05:15:55;Chemin des Gonnardières, Champ-sur-Drac;45.076828;5.727452;;ARRET;2;
13/12/23 05:16:06;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727436;;COLLECTE;0;
13/12/23 05:16:08;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727435;;ARRET;0;
13/12/23 05:16:10;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727435;;COLLECTE;0;
13/12/23 05:16:10;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727435;;COLLECTE;0;
13/12/23 05:16:18;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727441;;COLLECTE;0;
13/12/23 05:16:18;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727441;;ARRET;1;
13/12/23 05:16:22;Chemin des Gonnardières, Champ-sur-Drac;45.076843;5.727446;0.0;ARRET;0;
13/12/23 05:16:25;Chemin des Gonnardières, Champ-sur-Drac;45.076843;5.727447;;COLLECTE;0;
13/12/23 05:16:32;Chemin des Gonnardières, Champ-sur-Drac;45.076847;5.727447;;ARRET;1;
13/12/23 05:16:38;Chemin des Gonnardières, Champ-sur-Drac;45.076839;5.727444;;ARRET;30;
13/12/23 05:16:45;Chemin des Gonnardières, Champ-sur-Drac;45.076591;5.727285;21.0;HAUT LE PIED;8;
13/12/23 05:16:51;Chemin des Gonnardières, Champ-sur-Drac;45.076519;5.727253;;ARRET;1;
13/12/23 05:17:05;Chemin des Gonnardières, Champ-sur-Drac;45.076511;5.727245;;ARRET;17;
13/12/23 05:17:11;Chemin des Gonnardières, Champ-sur-Drac;45.076366;5.727188;16.0;HAUT LE PIED;18;
13/12/23 05:17:15;Chemin des Gonnardières, Champ-sur-Drac;45.076206;5.727213;12.0;HAUT LE PIED;3;
13/12/23 05:17:19;Chemin des Gonnardières, Champ-sur-Drac;45.076176;5.727221;;ARRET;1;
13/12/23 05:17:26;Chemin des Gonnardières, Champ-sur-Drac;45.076176;5.727229;;COLLECTE;1;
13/12/23 05:17:34;Chemin des Gonnardières, Champ-sur-Drac;45.07618;5.727235;;ARRET;0;
13/12/23 05:17:37;Chemin des Gonnardières, Champ-sur-Drac;45.07618;5.727235;;ARRET;20;
13/12/23 05:17:45;Chemin des Gonnardières, Champ-sur-Drac;45.076;5.727272;0.0;ARRET;34;
13/12/23 05:17:53;Chemin des Gonnardières, Champ-sur-Drac;45.075729;5.727079;12.0;HAUT LE PIED;8;
13/12/23 05:17:56;Chemin du Boutey, Champ-sur-Drac;45.075687;5.726991;9.0;HAUT LE PIED;8;
13/12/23 05:17:59;Chemin du Boutey, Champ-sur-Drac;45.075726;5.726903;9.0;HAUT LE PIED;12;
13/12/23 05:18:05;Chemin du Boutey, Champ-sur-Drac;45.075817;5.726819;;ARRET;1;
13/12/23 05:18:17;Chemin du Boutey, Champ-sur-Drac;45.075825;5.726805;;COLLECTE;0;
13/12/23 05:18:24;Chemin du Boutey, Champ-sur-Drac;45.075825;5.726807;;ARRET;0;
13/12/23 05:18:27;Chemin du Boutey, Champ-sur-Drac;45.075825;5.726807;;ARRET;4;
13/12/23 05:18:30;Chemin du Boutey, Champ-sur-Drac;45.075851;5.726774;0.0;ARRET;25;
13/12/23 05:18:42;Chemin du Boutey, Champ-sur-Drac;45.076;5.726542;;ARRET;1;
13/12/23 05:18:49;Chemin du Boutey, Champ-sur-Drac;45.075996;5.726555;;COLLECTE;0;
13/12/23 05:18:49;Chemin du Boutey, Champ-sur-Drac;45.075996;5.726555;;COLLECTE;0;
13/12/23 05:19:00;Chemin du Boutey, Champ-sur-Drac;45.075993;5.726553;;COLLECTE;0;
13/12/23 05:19:00;Chemin du Boutey, Champ-sur-Drac;45.075993;5.726553;;ARRET;0;
13/12/23 05:19:03;Chemin du Boutey, Champ-sur-Drac;45.075993;5.726553;;ARRET;4;
13/12/23 05:19:08;Chemin du Boutey, Champ-sur-Drac;45.076019;5.726516;10.0;HAUT LE PIED;41;
13/12/23 05:19:20;Chemin du Boutey, Champ-sur-Drac;45.076256;5.726113;;ARRET;1;
13/12/23 05:19:35;Chemin du Boutey, Champ-sur-Drac;45.07626;5.726129;;COLLECTE;0;
13/12/23 05:19:39;Chemin du Boutey, Champ-sur-Drac;45.07626;5.726124;0.0;COLLECTE;0;
13/12/23 05:19:40;Chemin du Boutey, Champ-sur-Drac;45.07626;5.726124;;ARRET;0;
13/12/23 05:19:41;Chemin du Boutey, Champ-sur-Drac;45.07626;5.726123;;COLLECTE;0;
13/12/23 05:19:41;Chemin du Boutey, Champ-sur-Drac;45.07626;5.726123;;COLLECTE;0;
13/12/23 05:19:49;Chemin du Boutey, Champ-sur-Drac;45.076263;5.726124;;COLLECTE;0;
13/12/23 05:19:49;Chemin du Boutey, Champ-sur-Drac;45.076263;5.726124;;ARRET;0;
13/12/23 05:19:53;Chemin du Boutey, Champ-sur-Drac;45.076263;5.726124;;COLLECTE;2;
13/12/23 05:20:02;Chemin du Boutey, Champ-sur-Drac;45.076275;5.726145;;ARRET;1;
13/12/23 05:20:04;Chemin du Boutey, Champ-sur-Drac;45.076279;5.726149;;ARRET;27;
13/12/23 05:20:14;Chemin du Boutey, Champ-sur-Drac;45.076458;5.725913;18.0;HAUT LE PIED;11;
13/12/23 05:20:19;Chemin du Boutey, Champ-sur-Drac;45.076527;5.725814;;ARRET;1;
13/12/23 05:20:30;Chemin du Boutey, Champ-sur-Drac;45.07653;5.725804;;COLLECTE;0;
13/12/23 05:20:30;Chemin du Boutey, Champ-sur-Drac;45.07653;5.725804;;COLLECTE;1;
13/12/23 05:20:42;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;;COLLECTE;0;
13/12/23 05:20:42;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;;ARRET;0;
13/12/23 05:20:45;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;0.0;ARRET;0;
13/12/23 05:20:50;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;;COLLECTE;0;
13/12/23 05:20:50;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;;COLLECTE;0;
13/12/23 05:20:58;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;;COLLECTE;0;
13/12/23 05:20:58;Chemin du Boutey, Champ-sur-Drac;45.076534;5.725808;;ARRET;12;
13/12/23 05:21:24;Inconnu, Champ-sur-Drac;45.076618;5.725713;;COLLECTE;0;
13/12/23 05:21:31;Inconnu, Champ-sur-Drac;45.076618;5.725716;;ARRET;15;
13/12/23 05:22:00;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.07671;5.725569;8.0;HAUT LE PIED;11;
13/12/23 05:22:05;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.076794;5.725494;10.0;HAUT LE PIED;9;
13/12/23 05:22:08;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.076874;5.725523;13.0;HAUT LE PIED;248;
13/12/23 05:22:40;Inconnu, Champ-sur-Drac;45.078995;5.726509;39.0;HAUT LE PIED;373;
13/12/23 05:23:10;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.082191;5.727922;52.0;HAUT LE PIED;193;
13/12/23 05:23:28;Avenue Louis Colmard, Champ-sur-Drac;45.083828;5.728741;14.0;HAUT LE PIED;10;
13/12/23 05:23:31;Avenue Louis Colmard, Champ-sur-Drac;45.083824;5.728865;14.0;HAUT LE PIED;13;
13/12/23 05:23:35;Allée de la Chêneraie, Champ-sur-Drac;45.083771;5.729008;10.0;HAUT LE PIED;12;
13/12/23 05:23:38;Allée de la Chêneraie, Champ-sur-Drac;45.083855;5.729108;15.0;HAUT LE PIED;10;
13/12/23 05:23:41;Allée de la Chêneraie, Champ-sur-Drac;45.083942;5.729096;9.0;HAUT LE PIED;8;
13/12/23 05:23:44;Allée de la Chêneraie, Champ-sur-Drac;45.083969;5.729006;11.0;HAUT LE PIED;10;
13/12/23 05:23:47;Allée de la Chêneraie, Champ-sur-Drac;45.084026;5.728907;10.0;HAUT LE PIED;12;
13/12/23 05:23:50;Allée de la Chêneraie, Champ-sur-Drac;45.084129;5.728942;15.0;HAUT LE PIED;27;
13/12/23 05:23:55;Allée de la Chêneraie, Champ-sur-Drac;45.084335;5.729123;18.0;HAUT LE PIED;53;
13/12/23 05:24:05;Allée de la Chêneraie, Champ-sur-Drac;45.084755;5.729444;13.0;HAUT LE PIED;8;
13/12/23 05:24:36;Allée de la Chêneraie, Champ-sur-Drac;45.084816;5.729502;0.0;ARRET;0;
13/12/23 05:24:43;Allée de la Chêneraie, Champ-sur-Drac;45.084816;5.729502;;COLLECTE;0;
13/12/23 05:24:43;Allée de la Chêneraie, Champ-sur-Drac;45.084816;5.729502;;COLLECTE;0;
13/12/23 05:24:53;Allée de la Chêneraie, Champ-sur-Drac;45.084816;5.729503;;COLLECTE;0;
13/12/23 05:24:53;Allée de la Chêneraie, Champ-sur-Drac;45.084816;5.729503;;ARRET;0;
13/12/23 05:25:01;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729503;;COLLECTE;0;
13/12/23 05:25:02;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729503;;COLLECTE;0;
13/12/23 05:25:11;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729504;;COLLECTE;0;
13/12/23 05:25:12;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729504;;ARRET;0;
13/12/23 05:25:20;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729504;;COLLECTE;0;
13/12/23 05:25:20;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729504;;COLLECTE;0;
13/12/23 05:25:30;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:25:30;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;ARRET;0;
13/12/23 05:25:39;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:25:39;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:25:49;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:25:49;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;ARRET;0;
13/12/23 05:26:04;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:26:04;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:26:14;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:26:15;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;ARRET;0;
13/12/23 05:26:21;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:26:22;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;COLLECTE;0;
13/12/23 05:26:31;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:26:31;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;ARRET;0;
13/12/23 05:26:48;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:26:48;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:26:59;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:26:59;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;ARRET;0;
13/12/23 05:27:10;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:27:10;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:27:20;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;COLLECTE;0;
13/12/23 05:27:20;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729506;;ARRET;0;
13/12/23 05:27:37;Allée de la Chêneraie, Champ-sur-Drac;45.084812;5.729505;;ARRET;44;
13/12/23 05:28:03;Allée de la Chêneraie, Champ-sur-Drac;45.085194;5.729384;10.0;HAUT LE PIED;7;
13/12/23 05:28:06;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.085236;5.729317;8.0;HAUT LE PIED;9;
13/12/23 05:28:09;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.085312;5.729353;13.0;HAUT LE PIED;13;
13/12/23 05:28:12;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.085419;5.72943;17.0;HAUT LE PIED;166;
13/12/23 05:28:35;Avenue Jean Navarre, Champ-sur-Drac;45.086826;5.730144;19.0;HAUT LE PIED;15;
